날짜,지점,평균기온(℃),최저기온(℃),최고기온(℃)
2025.3.7,108,5.3,0,11.1
2025.3.8,108,5.8,2.8,11.2
2025.3.9,108,6.9,1.2,13.5
2025.3.10,108,8,2.4,14.9
2025.3.11,108,9.4,2.9,16.6
2025.3.12,108,8.5,6.7,11.8
2025.3.13,108,8.9,3.2,15
2025.3.14,108,12.4,5,20.1
2025.3.15,108,12.6,10,17.2
2025.3.16,108,4.9,1.3,10.1
2025.3.17,108,2.5,-1.3,6.8
2025.3.18,108,2.1,0.3,5.6
2025.3.19,108,2.4,-1.9,7.3
2025.3.20,108,8.2,2.2,15
2025.3.21,108,11.6,7.9,18.7
2025.3.22,108,12.8,6.1,19.9
2025.3.23,108,15.2,7.1,24
2025.3.24,108,15.5,11.7,21.3
2025.3.25,108,12.7,8.4,21.4
2025.3.26,108,15.5,6,23.9
2025.3.27,108,13.7,7.1,18.6
2025.3.28,108,6.5,3.1,11.8
2025.3.29,108,3.3,0.6,6.7
2025.3.30,108,3.3,-1.8,7.6
2025.3.31,108,7.7,1.2,14.1
2025.4.1,108,10.1,3.9,17
2025.4.2,108,8.9,5.2,14.4
2025.4.3,108,9.8,3.6,16.9
2025.4.4,108,10.6,6,16.4
2025.4.5,108,8,7.5,9.5
2025.4.6,108,10.3,6.9,15.7
2025.4.7,108,13.5,5.5,20.1
2025.4.8,108,13.8,10.7,18.9
2025.4.9,108,12.7,8.4,18
2025.4.10,108,13.2,8.8,19.1
2025.4.11,108,16.2,8.1,24.2
2025.4.12,108,12.9,1.4,22.5
2025.4.13,108,5.5,1.1,8.2
2025.4.14,108,4.4,2.6,6
2025.4.15,108,8.2,2.3,14
2025.4.16,108,14.6,6.4,21.9
2025.4.17,108,19.7,15.8,24.7
2025.4.18,108,18.6,15.4,23.7
2025.4.19,108,15.3,12.2,20
2025.4.20,108,16.7,9.5,24.1
2025.4.21,108,20.7,14.2,27.1
2025.4.22,108,17.8,14.2,20.4
2025.4.23,108,16.8,10.9,22.9
2025.4.24,108,14.7,10.7,19.6
2025.4.25,108,12.5,7.7,17.8
2025.4.26,108,13.8,7.2,20
2025.4.27,108,14.9,10.7,19.1
2025.4.28,108,15.1,10.3,20.2
2025.4.29,108,14.8,8.2,21
2025.4.30,108,18.4,10,25.8
